product_id,domain,category,subcategory,title,display_name,capacity_range,short_description,product_info,technical_details,applications,model_count,spec_status,docx_verification,source_type,source_url
PROD-009,i-power,UPS Solutions,On-line high frequency,T-4003 300-1200k TL 3-3 (1PF) Long Back-up series (300-1200KVA),T-4003 Three Phase (300-1200KVA),300-1200KVA,"The i-power T-4003 UPS Series is a high-performance, DoubleConversion Online UPS designed to deliver uncompromising power quality and reliability. Engineered with a Three-Phase architecture, it provides a seamless power backup solution for mission-critical environments.","Equipped with comprehensive power protection, the unit effectively mitigates a wide spectrum of electrical disturbances, including total power failure, voltage fluctuations (sags and surges), harmonic distortion, and frequency instability. Its advanced circuitry ensures that connected equipment receives a pure, stabilized sine wave at all times",Power Factor 1 (kVA=kW) - High Efficiency 97% - System Parallel up to 8 units - Energy Regenerative Protection - UPS Health Detection - High Reliability -Green Power -Intellegent Management Models: OH3300T14400S OH3400T14400S OH3500T14400S OH3600T14400S OH3800T14800S OH31M0T14800S OH31M2T14800S Capacity KVA: 300 400 500 600 800 1000 1200,"Applications: Telecom, Edge Applications, Finance, Data Centers, Servers, Security, Medical Equipment’s, Educations, Light industrial applications",7,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-010,i-power,UPS Solutions,On-line low frequency,T-4101 1-6k TB 1-1 (0.8PF) With Battery (1-6KVA),T-4101 Single Phase (1-6KVA),1-6KVA,"The i-power T-4101 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features signiﬁcant advantages, including an output power factor of 0.8 and up to 98% AC-AC efﬁciency for greater energy savings.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4101 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",Wide Input Voltage Range Single Phase 160Vac to 280Vac. High Efﬁciency 98% under ECO Mode Intelligent Charging Design Battery low/over charged sensor to protect the charger. Output Voltage Regulation 220Vac±1% (Static)  220Vac±2% (50% to 0% Sudden Change). High Performance Advanced SCR rectiﬁer and IGBT inverter technology. High Overload Handling Abilit Surge current protection technology to manage sudden impact of 0% to 100% load immediately without transfer to bypass. - Ventilation Design Front to rear ventilation design to reduce the MTTR rate of the UPS. Tested and Veriﬁed All devices are fully tested and veriﬁed for maximum performance. Model: OL1001T80607S OL1002T80607S OL1003T80807S OL1006T81607S Capacity:1KVA / 0.8KW 2KVA / 1.6KW 3KVA / 2.4KW 6KVA / 4.8KW,"Applications: Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits, Industrial machines",4,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-011,i-power,UPS Solutions,On-line low frequency,T-4101 1-15k TB 1-1 (0.8PF) Without Battery (1-15KVA),T-4101 Single Phase (1-15kVA),1-15kVA,"The i-power T-4101 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor of 0.8 and up to 98% AC-AC efficiency for greater energy savings.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4101 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",Wide Input Voltage Range Single Phase 160Vac to 280Vac. High Efﬁciency 98% under ECO Mode Intelligent Charging Design Battery low/over charged sensor to protect the charger. Output Voltage Regulation 220Vac±1% (Static)  220Vac±2% (50% to 0% Sudden Change). High Performance Advanced SCR rectiﬁer and IGBT inverter technology. High Overload Handling Abilit Surge current protection technology to manage sudden impact of 0% to 100% load immediately without transfer to bypass. - Ventilation Design Front to rear ventilation design to reduce the MTTR rate of the UPS. Tested and Veriﬁed All devices are fully tested and veriﬁed for maximum performance. Model: OL1001T80600S OL1002T80600S OL1003T80800S OL1006T81600S OL1006T80800S OL1008T81600S OL1010T81600S OL1015T81600S Capacities: 1KVA / 0.8KW 2KVA / 1.6KW 3KVA / 2.4KW 6KVA / 4.8KW 8KVA / 6.4KW 10KVA / 8KW 15KVA / 12KW,"Applications: Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits, Industrial machines",8,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-012,i-power,UPS Solutions,On-line low frequency,T-4102 6-30k TB 3-1 Without Battery (6-30KVA),T-4102 Three Phase (6-30KVA),6-30KVA,"The i-power T-4102 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor of 0.8 and up to 98% AC-AC efficiency for greater energy savings.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4102 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",Wide Input Voltage Range 3-Phase In / 1-Phase out 380Vac ±25%. High Efﬁciency 98% under ECO Mode Intelligent Charging Design Battery low/over charged sensor to protect the charger. Output Voltage Regulation 220Vac±1% (Static)  220Vac±2% (50% to 0% Sudden Change). High Performance Advanced SCR rectiﬁer and IGBT inverter technology. High Overload Handling Abilit Surge current protection technology to manage sudden impact of 0% to 100% load immediately without transfer to bypass. - Ventilation Design Front to rear ventilation design to reduce the MTTR rate of the UPS. Tested and Veriﬁed All devices are fully tested and veriﬁed for maximum performance. Model: OL2006T83200S OL2010T83200S OL2015T83200S OL2020T83200S OL2030T83200S Capacity: 6KVA / 4.8KW 10KVA / 8KW 15KVA / 12KW 20KVA / 16KW 30KVA / 24KW,"Applications: Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits, Industrial machines",5,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-013,i-power,UPS Solutions,On-line low frequency,T-4102 10-60k TB 3-1 (0.8PF) Without Battery (10-60KVA),T-4102 Three Phase (10-60KVA),10-60KVA,"The i-power T-4102 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor of 0.8 and up to 98% AC-AC efficiency for greater energy savings.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4102 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",Wide Input Voltage Range 3-Phase In / 1-Phase out . High Efﬁciency 98% Intelligent Charging Design Battery low/over charged sensor to protect the charger. Output Voltage Regulation 220Vac±1% (Static)  220Vac±2% (50% to 0% Sudden Change). High Performance Advanced SCR rectiﬁer and IGBT inverter technology. High Overload Handling Abilit Surge current protection technology to manage sudden impact of 0% to 100% load immediately without transfer to bypass. - Ventilation Design Front to rear ventilation design to reduce the MTTR rate of the UPS. Tested and Veriﬁed All devices are fully tested and veriﬁed for maximum performance. Model / Capacity OL2010T83200S OL2020T83200S OL2030T83200S 10KVA / 8KW 20KVA / 16KW 30KVA / 24KW OL2040T83200S OL2060T83200S 40KVA / 32KW 60KVA / 48KW,"Applications: Network, Security, Education Labs, Emergency Devices, Control circuits, Industrial machines",5,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-014,i-power,UPS Solutions,On-line low frequency,T-4103 10-40k TB 3-3 (0.9PF) Without Battery (10-40KVA),T-4103 Three Phase (10-40KVA),10-40KVA,"The i-power T-4103 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable power. It features significant advantages, including an output power factor of 0.9 and up to 90% AC-AC efficiency for greater energy savings.","The i-power T-4103 series offers the maximum available power, energy efficiency, and power performance for large data centres, telecommuncation center, production line and realated devices, requiring high power ratings and highly reliable power protection.",Wide Input Voltage Range to reduce the chance of un-necessary battery drainage and extend its life. Robust ECO Mode Up to 98% efficiency with higher system reliability. Parallel Redundancy Up to eight units can be paralleled for redundancy or expansion. Self Diagnosis and aging detection to minimize downtime risk. High Performance Advanced SCR rectifier and IGBT technology. Greater Energy Saving AC-AC efficiency up to 90% for greater energy savings. High Overload Handling Ability and load compatibility. Tested & Verified All are fully tested and verified for maximum performance. Model Capacity OL3010T93200S OL3015T93200S OL3020T93200S 10KVA / 9KW 15KVA / 13.5KW 20KVA / 18KW OL3030T93200S OL3040T93200S 30KVA / 27KW 40KVA / 36KW,"Applications: Industry, Precision Equipment, Medical, Airports, Transportation, Telecom, Data Centers, Metro, Emergency Equipment’s",5,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-015,i-power,UPS Solutions,On-line low frequency,T-4103 60-120k TB 3-3 (0.9PF) Without Battery (60-120KVA),T-4103 Three Phase (60-120KVA),60-120KVA,"The i-power T-4103 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable power. It features significant advantages, including an output power factor of 0.9 and up to 90% AC-AC efficiency for greater energy savings.","The i-power T-4103 series offers the maximum available power, energy efficiency, and power performance for large data centres, telecommuncation center, production line and realated devices, requiring high power ratings and highly reliable power protection.",Wide Input Voltage Range to reduce the chance of un-necessary battery drainage and extend its life. Robust ECO Mode Up to 98% efficiency with higher system reliability. Parallel Redundancy Up to eight units can be paralleled for redundancy or expansion. Self Diagnosis and aging detection to minimize downtime risk. High Performance Advanced SCR rectifier and IGBT technology. Greater Energy Saving AC-AC efficiency up to 90% for greater energy savings. High Overload Handling Ability and load compatibility. Tested & Verified All are fully tested and verified for maximum performance. Model Capacity OL3060T93200S OL3080T93200S OL3100T93200S OL3120T93200S 60KVA / 54KW 80KVA / 72KW 100KVA / 90KW 120KVA / 108KW,"Applications: Industry, Precision Equipment, Medical, Airports, Transportation, Telecom, Data Centers, Metro, Emergency Equipment’s",4,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-016,i-power,UPS Solutions,On-line low frequency,T-4103 160-600k TB 3-3 (0.9PF) Without Battery (160-600KVA),T-4103 Three Phase (160-600KVA),160-600KVA,"The i-power T-4103 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor of 0.9 and up to 94% AC-AC efficiency for greater energy savings.","The i-power T-4103 series offers the maximum available power, energy efficiency, and power performance for large data centers, telecommuncation center, production line and realated devices, requiring high power ratings and highly reliable power protection. With Multiple Digital Control Modules, such as DSP, MCU, and CPLD, T-4103 can be non-prioritized paralleled up to 8 units to lower operating costs without compromising reliability, performance, and availability.",Wide Input Voltage Range to reduce the chance of un-necessary battery drainage and extend its life. Robust ECO Mode Up to 98% efficiency with higher system reliability. Parallel Redundancy Up to eight units can be paralleled for redundancy or expansion. Self Diagnosis and aging detection to minimize downtime risk. High Performance Advanced SCR rectifier and IGBT technology. Greater Energy Saving AC-AC efficiency up to 90% for greater energy savings. High Overload Handling Ability and load compatibility. Tested & Verified All are fully tested and verified for maximum performance. Model Capacity OL3160T93200S OL3200T93200S OL3250T93200S OL3300T93200S OL3400T93200S OL3500T93200S OL3600T93200S 160KVA/144KW 200KVA/180KW 250KVA/225KW 300KVA/270KW 400KVA/360KW 500KVA/450KW 600KVA/540KW,"Applications: Industry, Precision Equipment, Medical, Airports, Transportation, Telecom, Data Centers, Metro, Emergency Equipment’s",7,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-017,i-power,UPS Solutions,Rack-Mountable,T-4111 1-10k TB 1-1 (0.8PF) Without Battery (1-10KVA),T-4111 Single Phase (1-10kVA),1-10kVA,"The i-power T-4111 series is a true online double-conversion rack-mount UPS that can provide your critcal equipment with reliable and stable sine wave power. It features signiﬁcant advantages, including an output power factor of 0.8 and up to 85% AC-AC efﬁciency for greater energy savings.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4111 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",Wide Input Voltage Range Single Phase 160Vac to 280Vac. High Efﬁciency 98% under ECO Mode Intelligent Charging Design Battery low/over charged sensor to protect the charger. Output Voltage Regulation 220Vac±1% (Static)  220Vac±2% (50% to 0% Sudden Change). High Performance Advanced SCR rectiﬁer and IGBT inverter technology. High Overload Handling Abilit Surge current protection technology to manage sudden impact of 0% to 100% load immediately without transfer to bypass. - Ventilation Design Front to rear ventilation design to reduce the MTTR rate of the UPS. Tested and Veriﬁed All devices are fully tested and veriﬁed for maximum performance OL1001R80600S 1KVA / 0.8KW OL1002R80600S 2KVA / 1.6KW OL1003R80800S 3KVA / 2.4KW OL1006R81600S 6KVA / 4.8KW OL1008R81600S 8KVA / 6.4KW OL1010R81600S 10KVA /8KW,"Applications: Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits, Industrial machines",6,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-018,i-power,UPS Solutions,Rack-Mountable,T-4011 1-10k TL 1-1 (1PF) With Battery (1-10KVA),T-4011 Single Phase (1-10KVA),1-10KVA,"The i-power T-4011 series is a true online double-conversion Rack-Tower UPS that can provide your critical equipment with reliable and stable pure sine wave power. It features signiﬁcant advantages, including an output power factor up to 1 and overall efﬁciency > 95%. It also provides a highly reliable and energy saving green power system.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. Due to its 3-level Inverter technology, The T-4011 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",FEATURES High frequency on-line double conversion single phase - High Output Power Factor - ECO Function - Topology Comes with Eco friendly function to save cost - Input Voltage Wide input voltage range from 110-300 VAC Battery anti reverse connection alarm and safety and battery test function - EPO Function - Flexible Battery - LCD - All devices have EPO function available Flexible battery VDC options i.e. 192/240 VDC for long back-up 6 & 10 kVA models - Large and multifunctional LCD with comprehensive information about UPS working. Also multi page history record displayed on LCD Model / Rating OH1001C10207S 1KVA / 1KW OH1002C10407S 2KVA / 2KW OH1003C10607S 3KVA / 3KW OH1006C11607S 6KVA / 6KW OH1010C11607S 10KVA / 10KW,"Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits",5,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-019,i-power,UPS Solutions,Rack-Mountable,T-4011 3-5k TL 1-1 (1PF) Without Battery (3-5KVA),T-4011 Single Phase (3-5kVA),3-5kVA,"The i-power T-4011 series is a true online double-conversion Rack-Tower UPS that can provide your critical equipment with reliable and stable pure sine wave power. It features signiﬁcan advantages, including an output power factor up to 1 and overal efﬁciency > 95%. It also provides a highly reliable and energy saving green power system.","Its a verstile, high quality, cost competitive UPS developed to handle a wide voltage range and inconsistent power conditions. Due to its 3-level Inverter technology, The T-4011 provides a safe power supply guaranteed for mission critical equipments, telecommunication devices, precision equipment and more",FEATURES High frequency on-line double conversion single phase High Output Power Factor Wide input voltage range  EPO Function 48VDC High Charge Current LCD Display comprehensive information about UPS working. Also multi page history record displayed on LCD OH1003R10400S 3KVA OH1005R10400S 5KVA,"Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits",2,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
