product_id,domain,category,subcategory,title,display_name,capacity_range,short_description,product_info,technical_details,applications,model_count,spec_status,source_type,source_url
PROD-011,i-power,Automatic Voltage Regulators,AVR-1001 (Static Control),Single Phase (1-50kVA),AVR-1001 Single Phase (1-50kVA),1-50KVA,"AVR-1001 Single Phase (1-50kVA) is a AVR-1001 (Static Control) product in the Automatic Voltage Regulators category from Interconnect Solutions' i-power line, spanning 1-50KVA.",,"Efficiency: >98% | Input Voltage: 88-290V, Can Be Customizable As Per Requirement | Supply Frequency: 50/60Hz | Insulation Class: H Class | Voltage Regulation Mode: Independent Phase Regulation | System Voltage: Nominal System Voltage 380/220 V, Or Other Rated Voltage | Regulation Accuracy: ±2.5% (Adjustable, 1-5 %) | Cooling Type: Natural Air(AN)/Forced Air(AF) | Duty Type: Continuous | Undervoltage Protect: Cut Off 242 V (Adjustable), Delay 4 -7 S | Overvoltage Protect: Cut Off 176 V (Adjustable), Delay 4 -7 S | Operational Temperature: -20 C To +45 C | Protection Class: Ingress Protection IP20 (Outdoor Version Customization) | Electrical Safety: CE Equivalent | Relative Humidity: <90% | Dimensions (WxDxH): 230*480*740",,2,verified,website,https://i-sol.co.uk/avr-1001-static-control-single-phase-1-50kva
PROD-012,i-power,Automatic Voltage Regulators,AVR-1001 (Static Control),Three Phase (10-2000kVA),AVR-1001 Three Phase (10-2000kVA),10-2000KVA,"AVR-1001 Three Phase (10-2000kVA) is a AVR-1001 (Static Control) product in the Automatic Voltage Regulators category from Interconnect Solutions' i-power line, spanning 10-2000KVA.",,"Efficiency: >98% | Input Voltage: 88-290V, Customization On Request | Supply Frequency: 50/60Hz | Insulation Class: H Class | Voltage Regulation Mode: Independent Phase Regulation | System Voltage: Nominal System Voltage 380/220 V, Or Other Rated Voltage | Regulation Accuracy: ±2.5% (Adjustable, 1-5 %) | Cooling Type: Natural Air(AN)/Forced Air(AF) | Duty Type: Continuous | Undervoltage Protect: Cut Off 242 V (Adjustable), Delay 4 -7 S | Overvoltage Protect: Cut Off 176 V (Adjustable), Delay 4 -7 S | Operational Temperature: -20 C To +45 C | Protection Class: Ingress Protection IP20 (Outdoor Version Customization) | Electrical Safety: CE Equivalent | Relative Humidity: <90% | Dimensions (WxDxH): Customized As Per The AVR Rating",,2,verified,website,https://i-sol.co.uk/avr-1001-static-control-three-phase-10-2000kva
PROD-013,i-power,Automatic Voltage Regulators,AVR-1002 (Relay Control),Single Phase (1-20kVA),AVR-1002 Single Phase (1-20kVA),1-20KVA,"AVR-1002 Single Phase (1-20kVA) is a AVR-1002 (Relay Control) product in the Automatic Voltage Regulators category from Interconnect Solutions' i-power line, spanning 1-20KVA.",,Output Voltage: Single Phase 220V±5% | Efficiency: ≥98% On Full Load | Input Voltage: Single Phase 120-270V | Supply Frequency: 50/60Hz | Size (D*W*H): 225×330×150 | 240×410×190 | 280×480×240 | Under Voltage Protection: Output Voltage ≤180V | Over Voltage Protection: Output Voltage ≥245V | Start Delay Protection: 6s | Weight(Kg): 12 | 15 | 19 | 27 | 38 | 42 | 50 | 55,,8,verified,website,https://i-sol.co.uk/avr-1002-relay-control-single-phase-1-20kva
PROD-014,i-power,Automatic Voltage Regulators,AVR-1001 (Servo Control),AVR-1001 Servo 1-Phase (1-10k),AVR-1001 Servo 1-Phase (1-10k),1-10KVA,"The i-power “Servo Voltage Stabilizers” provide protection against main power sags, surges and brownouts. It is ideal for environments that are subject to inconsistencies in the main supply. Each stabilizer has a wide input voltage tolerance and has been designed to provide the ultimate reliability in hostile environments where the quality of the main supply cannot be guaranteed.",The electro-mechanical servo based voltage stabilizer series adopts the latest control technology and offers an unrivalled combination of features providing exceptional performance and protection with great versatility and extremely high reliability. This product is extremely suitable for equipment that require highly reliable and stable power supply.,"Humidity: 20%-90% | Overload: Power cut off in 3-5s | Efficiency: >= 98% | Cooling System: Air Cooled | Frequency: 50/60 Hz | Power Factor: PF >= 0.8 | Noise: ＜65dB/m | Insulation Resistance: >= 2M Ohm | Waveform Distortion: <= 1% | Power Rating (KVA): 1KVA | 2KVA | 3KVA | 5KVA | 10KVA | Control Method: Servo Motor （Microprocessor CPU） | Input Rated Voltage: 1 x 230VAC (1Phase + N) | Voltage Range: 230VC±20% (Optional: ±25,±30%) | Output Rated Voltage: 1 x 230VAC (1phase + N) | Stabilizing Accuracy: ±1~5% Adjustable | Response time: <= 0.5S | Delay time: <= 5s（Optional) | Over Voltage: Power cut off in 3-5s if Output voltage >10% | Under Voltage: Power cut off in 3-5s if Output voltage < 15% | Short Circuit: Power cut off | Manual Bypass: Available | Digital Display: Real-time display of input/output voltage, output currents | Working Status: AVR, Bypass, Fuse Blown, Over-voltage, Under-voltage,Over-load | Ambient Temperature: 0°C-45°C ( No condensation ) | Size WxDxH (mm): 200x220x200 | 243×342×280 | 303 x 402 x 320 | Net Weight (KG): 7kg | 9kg | 14.5kg | 18kg | 30kg",Eelecric Appliances Entertainment IT Infrastructure Business Systems POS Medical Instruments Automation Industrial Machines Telecom Infrastructure,5,verified,website,https://i-sol.co.uk/avr-1001-servo-1-phase-1-10k-2
PROD-015,i-power,Automatic Voltage Regulators,AVR-1001 (Servo Control),AVR-1001 Servo 1-Phase (20-30KVA),AVR-1001 Servo 1-Phase (20-30KVA),20-30KVA,"The i-power “Servo Voltage Stabilizers” provide protection against main power sags, surges and brownouts. It is ideal for environments that are subject to inconsistencies in the main supply. Each stabilizer has a wide input voltage tolerance and has been designed to provide the ultimate reliability in hostile environments where the quality of the main supply cannot be guaranteed.",The electro-mechanical servo based voltage stabilizer series adopts the latest control technology and offers an unrivalled combination of features providing exceptional performance and protection with great versatility and extremely high reliability. This product is extremely suitable for equipment that require highly reliable and stable power supply.,"Humidity: 20%-90% | Overload: Power cut off in 3-5s | Efficiency: >= 98% | Cooling System: Air Cooled | Frequency: 50/60 Hz | Power: 20KVA | 30KVA | Power Factor: PF >= 0.8 | Noise: ＜65dB/m | Insulation Resistance: >= 2M Ohm | Waveform Distortion: <= 1% | Control Method: Servo Motor （Microprocessor CPU） | Input Rated Voltage: 1 x 230VAC (1Phase + N) | Voltage Range: 230VC±20% (Optional: ±25,±30%) | Output Rated Voltage: 1 x 230VAC (1phase + N) | Stabilizing Accuracy: ±1~5% Adjustable | Response time: <= 0.5S | Delay time: <= 5s（Optional) | Over Voltage: Power cut off in 3-5s if Output voltage >10% | Under Voltage: Power cut off in 3-5s if Output voltage < 15% | Short Circuit: Power cut off | Manual Bypass: Available | Digital Display: Real-time display of input/output voltage, output currents | Working Status: AVR, Bypass, Fuse Blown, Over-voltage, Under-voltage,Over-load | Ambient Temperature: 0°C-45°C ( No condensation ) | Size WxDxH (mm): 400×400×590 | 400×470×750 | Net Weight (KG): 78 | 101 | Phase Loss: Alarm generated and Power Cut off",Eelecric Appliances Entertainment IT Infrastructure Business Systems POS Medical Instruments Automation Industrial Machines Telecom Infrastructure,2,verified,website,https://i-sol.co.uk/avr-1001-servo-1-phase-20-30kva
PROD-016,i-power,Automatic Voltage Regulators,AVR-1002 (Servo Control),AVR-1002 Servo 3-Phase (100-3000KVA),AVR-1002 Servo 3-Phase (100-3000KVA),1000-3000KVA,"The i-power “Servo Voltage Stabilizers” provide protection against main power sags, surges and brownouts. It is ideal for environments that are subject to inconsistencies in the main supply. Each stabilizer has a wide input voltage tolerance and has been designed to provide the ultimate reliability in hostile environments where the quality of the main supply cannot be guaranteed.",The electro-mechanical servo based voltage stabilizer series adopts the latest control technology and offers an unrivalled combination of features providing exceptional performance and protection with great versatility and extremely high reliability. This product is extremely suitable for equipment that require highly reliable and stable power supply.,"Humidity: 20%-90% | Overload: Power cut off in 3-5s | Efficiency: >= 98% | Cooling System: Air Cooled | Frequency: 50/60 Hz | Power Factor: PF >= 0.8 | Noise: ＜65dB/m | Insulation Resistance: >= 2M Ohm | Waveform Distortion: <= 1% | Power Rating (KVA): 1000KVA | 1250KVA | 1500KVA | 2000KVA | 3000KVA | Control Method: Servo Motor （Microprocessor CPU） | Input Rated Voltage: 3 x 400VAC (3Phase + N) | Voltage Range: 400VC ±20% (Optional: ±25,±30%)) | Output Rated Voltage: 3 x 400VAC (3phase + N) | Stabilizing Accuracy: ±1~5% Adjustable | Response time: <= 0.5S | Delay time: <= 5s（Optional) | Over Voltage: Power cut off in 3-5s if Output voltage >10% | Under Voltage: Power cut off in 3-5s if Output voltage < 15% | Short Circuit: Power cut off | Manual Bypass: Available | Digital Display: Real-time display of input/output voltage, output currents | Working Status: AVR, Bypass, Fuse Blown, Over-voltage, Under-voltage,Over-load | Ambient Temperature: 0°C-45°C ( No condensation ) | Size WxDxH (mm): 1500×1600×2000(3 door) | 850 x 1200 x 2000(3 Cabinets) | 950 x 1200 x 2000(3 Cabinets) | 1350 x 1300 x 2200(3 Cabinets) | 1800 x 1300 x 2200(3 Cabinets) | Net Weight (KG): 1750 | 6841 | Phase Loss: Alarm generated and Power Cut off | Phase Dislocation: Alarm generated and Power Cut off | Input & Output breakers: Outdoor Enclosure IP-54 | EMI / RFI Filter | Surge Protection | Neutral & Phase Failure Protection | Data Logging / Remote Monitoring",CNC Machines Injection Molding Machines Production Lines Imaging Equipment Laboratory Instruments Server Rooms & Data Centers Telecom Base Stations Elevators & Lifts HVAC Systems,5,verified,website,https://i-sol.co.uk/avr-1002-servo-3-phase-100-3000kva
PROD-017,i-power,Automatic Voltage Regulators,AVR-1002 (Servo Control),AVR-1002 Servo 3-Phase (10-80k),AVR-1002 Servo 3-Phase (10-80k),10-80KVA,"The i-power “Servo Voltage Stabilizers” provide protection against main power sags, surges and brownouts. It is ideal for environments that are subject to inconsistencies in the main supply. Each stabilizer has a wide input voltage tolerance and has been designed to provide the ultimate reliability in hostile environments where the quality of the main supply cannot be guaranteed.",The electro-mechanical servo based voltage stabilizer series adopts the latest control technology and offers an unrivalled combination of features providing exceptional performance and protection with great versatility and extremely high reliability. This product is extremely suitable for equipment that require highly reliable and stable power supply.,"Humidity: 20%-90% | Overload: Power cut off in 3-5s | Efficiency: >= 98% | Cooling System: Air Cooled | Frequency: 50/60 Hz | Power Factor: PF >= 0.8 | Noise: ＜65dB/m | Insulation Resistance: >= 2M Ohm | Waveform Distortion: <= 1% | Power Rating (KVA): 10KVA | 20KVA | 30KVA | 50KVA | 80KVA | Control Method: Servo Motor （Microprocessor CPU） | Input Rated Voltage: 3 x 400VAC (3Phase + N) | Voltage Range: 400VC ±20% (Optional: ±25,±30%)) | Output Rated Voltage: 3 x 400VAC (3phase + N) | Stabilizing Accuracy: ±1~5% Adjustable | Response time: <= 0.5S | Delay time: <= 5s（Optional) | Over Voltage: Power cut off in 3-5s if Output voltage >10% | Under Voltage: Power cut off in 3-5s if Output voltage < 15% | Short Circuit: Power cut off | Manual Bypass: Available | Digital Display: Real-time display of input/output voltage, output currents | Working Status: AVR, Bypass, Fuse Blown, Over-voltage, Under-voltage,Over-load | Ambient Temperature: 0°C-45°C ( No condensation ) | Size WxDxH (mm): 340x400x770 | 390×500×820 | 450×670×1050 | 500×770×1250 | Net Weight (KG): 65kg | 111kg | 125kg | 137kg | 270kg | Phase Loss: Alarm generated and Power Cut off | Phase Dislocation: Alarm generated and Power Cut off | Input & Output breakers: Outdoor Enclosure IP-54 | EMI / RFI Filter | Surge Protection | Neutral & Phase Failure Protection | Data Logging / Remote Monitoring | Gross Weight (KG): 80kg | 126kg | 140kg | 157kg | 295kg",CNC Machines Injection Molding Machines Production Lines Imaging Equipment Laboratory Instruments Server Rooms & Data Centers Telecom Base Stations Elevators & Lifts HVAC Systems,5,verified,website,https://i-sol.co.uk/avr-1002-servo-3-phase-10-80k-2
PROD-018,i-power,Automatic Voltage Regulators,AVR-2001 (Static  Control),AVR-2001 Static 1-Phase (5-30k),AVR-2001 Static 1-Phase (5-30k),5-30KVA,"The i-power “Static Voltage Stabilizers” provide protection against main power sags, surges and brownouts. It is ideal for locations that are subject to inconsistencies in the main supply. Each stabilizer has a wide input voltage tolerance and has been designed to provide the ultimate reliability in hostile environments where the quality of the main supply cannot be guaranteed.","The Non- contact voltage stabilizer series adopts the latest DSP operation control technology, fastest AC sampling, effective values calibrating, current zero-crossing switching and fast compensating voltage stabilizing technology to meet the new generation technology requirements. This product is extremely suitable for equipment that require highly reliable and stable power supply or environments where high amplitude of voltage fluctuation is common.","Humidity: 20%-90% | Overload: Power cut off in 3-5s | Efficiency: >= 98% | Cooling System: Air Cooled | Frequency: 50/60 Hz | Power Factor: PF >= 0.8 | Noise: ＜65dB/m | Insulation Resistance: >= 2M Ohm | Waveform Distortion: <= 1% | Power Rating (KVA): 5KVA | 10KVA | 15KVA | 20KVA | 30KVA | Control Method: SCR/Non-Contact （Microprocessor CPU) | Input Rated Voltage: 1 x 230VAC (1Phase + N) | Voltage Range: 230VC±20% (Optional: ±25,±30%) | Output Rated Voltage: 1 x 230VAC (1Phase + N) | Stabilizing Accuracy: ±1~5% Adjustable | Response time: <= 0.5S | Delay time: <= 5s（Optional) | Over Voltage: Power cut off in 3-5s if Output voltage >10% | Under Voltage: Power cut off in 3-5s if Output voltage < 15% | Short Circuit: Power cut off | Manual Bypass: Available | Digital Display: Real-time display of input/output voltage, output currents | Working Status: AVR, Bypass, Fuse Blown, Over-voltage, Under-voltage,Over-load | Ambient Temperature: 0°C-45°C ( No condensation ) | Size WxDxH (mm): 280×550×300 | 350×600×400 | Net Weight (KG): 25kg | 30kg | 71kg | 85kg | 95kg",Medical & Healthcare Data Centers & IT Networks Precision Laboratories Industrial Automation Commercial & Residential,5,verified,website,https://i-sol.co.uk/avr-2001-static-1-phase-5-30k
PROD-019,i-power,Automatic Voltage Regulators,AVR-2002 (Static Control),AVR-2002 Static 3-Phase (10-250k),AVR-2002 Static 3-Phase (10-250k),10-80KVA,"The i-power “Static Voltage Stabilizers” provide protection against main power sags, surges and brownouts. It is ideal for locations that are subject to inconsistencies in the main supply. Each stabilizer has a wide input voltage tolerance and has been designed to provide the ultimate reliability in hostile environments where the quality of the main supply cannot be guaranteed.","The Non- contact voltage stabilizer series adopts the latest DSP operation control technology, fastest AC sampling, effective values calibrating, current zero-crossing switching and fast compensating voltage stabilizing technology to meet the new generation technology requirements. This product is extremely suitable for equipment that require highly reliable and stable power supply or environments where high amplitude of voltage fluctuation is common.","Humidity: 20%-90% | Overload: Power cut off in 3-5s | Efficiency: >= 98% | Cooling System: Air Cooled | Frequency: 50/60 Hz | Power Factor: PF >= 0.8 | Noise: ＜65dB/m | Insulation Resistance: >= 2M Ohm | Waveform Distortion: <= 1% | Power Rating (KVA): 10KVA | 20KVA | 30KVA | 50KVA | 80KVA | Control Method: SCR/Non-Contact （Microprocessor CPU) | Input Rated Voltage: 3 x 400VAC (3phase + N) (Optional: 380/415) | Voltage Range: 400VC ±20% (Optional: ±25,±30%) | Output Rated Voltage: 3 x 400VAC (3phase + N) (Optional: 380/415) | Stabilizing Accuracy: ±1~5% Adjustable | Response time: <= 0.06S | Delay time: <= 5s（Optional) | Over Voltage: Power cut off in 3-5s if Output voltage >10% | Under Voltage: Power cut off in 3-5s if Output voltage < 15% | Short Circuit: Power cut off | Manual Bypass: Available | Digital Display: Real-time display of input/output voltage, output currents | Working Status: AVR, Bypass, Fuse Blown, Over-voltage, Under-voltage,Over-load | Ambient Temperature: 0°C-45°C ( No condensation ) | Size WxDxH (mm): 380×780×830 | 430×780×1170 | Net Weight (KG): 80kg | 85kg | 88kg | 104kg | 153kg | Static Bypass: Available",Data Centers and IT Facilities Medical and Diagnostic Equipment Industrial Automation and CNC Machinery Laboratories and Testing Facilities Industrial HVAC and Compressors,5,verified,website,https://i-sol.co.uk/avr-2002-static-3-phase-10-250k
PROD-020,i-power,Automatic Voltage Regulators,AVR-2002 (Static Control),AVR-2002 Static 3-Phase (300-300KVA),AVR-2002 Static 3-Phase (300-300KVA),1000-3000KVA,"The i-power “Static Voltage Stabilizers” provide protection against main power sags, surges and brownouts. It is ideal for locations that are subject to inconsistencies in the main supply. Each stabilizer has a wide input voltage tolerance and has been designed to provide the ultimate reliability in hostile environments where the quality of the main supply cannot be guaranteed.","The Non- contact voltage stabilizer series adopts the latest DSP operation control technology, fastest AC sampling, effective values calibrating, current zero-crossing switching and fast compensating voltage stabilizing technology to meet the new generation technology requirements. This product is extremely suitable for equipment that require highly reliable and stable power supply or environments where high amplitude of voltage fluctuation is common.","Humidity: 20%-90% | Overload: Power cut off in 3-5s | Efficiency: >= 98% | Cooling System: Air Cooled | Frequency: 50/60 Hz | Power Factor: PF >= 0.8 | Noise: ＜65dB/m | Insulation Resistance: >= 2M Ohm | Waveform Distortion: <= 1% | Power Rating (KVA): 1000KVA | 1250KVA | 1500KVA | 2000KVA | 3000KVA | Control Method: SCR/Non-Contac（t Microprocessor CPU)） | Input Rated Voltage: 3 x 400VAC (3phase + N) (Optional: 380/415) | Voltage Range: 400VC ±20% (Optional: ±25,±30%)) | Output Rated Voltage: 3 x 400VAC (3phase + N) | Stabilizing Accuracy: ±1~5% Adjustable | Response time: <= 0.06S | Delay time: <= 5s（Optional) | Over Voltage: Power cut off in 3-5s if Output voltage >10% | Under Voltage: Power cut off in 3-5s if Output voltage < 15% | Short Circuit: Power cut off | Manual Bypass: Available | Digital Display: Real-time display of input/output voltage, output currents | Working Status: AVR, Bypass, Fuse Blown, Over-voltage, Under-voltage,Over-load | Ambient Temperature: 0°C-45°C ( No condensation ) | Size WxDxH (mm): 1500×1000×1950 | 1500×1300×1950 | 2000×1500×1950 | 1500× 1000× 2000 | Net Weight (KG): 1400 | 1600 | 2250 | 4200 | 7900 | Phase Loss: Alarm generated and Power Cut off | Input & Output breakers: Outdoor Enclosure IP-54 | EMI / RFI Filter | Surge Protection | Neutral & Phase Failure Protection | Data Logging / Remote Monitoring | Gross Weight (KG): 1600 | 1850 | 2500 | 4450 | 9480 | Voltage-endurance: The whole machine has no breakdown and no arcing phenomena for 2000VAC/ min.",Data Centers and IT Facilities Medical and Diagnostic Equipment Industrial Automation and CNC Machinery Laboratories and Testing Facilities Industrial HVAC and Compressors,5,verified,website,https://i-sol.co.uk/avr-2002-static-3-phase-300-300kva
PROD-021,i-power,Battery Storage Power Solutions,AGM Valve Regulated Sealed Lead Acid 12Volt,E-GFM Series Range: 5Ah – 200Ah,AGM E-GFM Series Range: 5Ah – 200Ah,5-200AH,"AGM E-GFM Series Range: 5Ah – 200Ah is a AGM Valve Regulated Sealed Lead Acid 12Volt product in the Battery Storage Power Solutions category from Interconnect Solutions' i-power line, spanning 5-200AH.",,Order-Code: [910-024] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V5AH; Rated Capacity @ 25° C (Ah): 5; Dimensions (Mm): 4.8; Weight (Kg): 90; Terminal Type: 70 | [910-012] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V7AH; Rated Capacity @ 25° C (Ah): 7; Dimensions (Mm): 6.7; Weight (Kg): 151; Terminal Type: 65 | [910-013] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V9AH; Rated Capacity @ 25° C (Ah): 9; Dimensions (Mm): 8.6; Weight (Kg): 151; Terminal Type: 65 | [910-014] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V12AH; Rated Capacity @ 25° C (Ah): 12; Dimensions (Mm): 11.4; Weight (Kg): 151; Terminal Type: 99 | [910-015] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V18AH; Rated Capacity @ 25° C (Ah): 19; Dimensions (Mm): 18; Weight (Kg): 181; Terminal Type: 77 | [910-016] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V26AH; Rated Capacity @ 25° C (Ah): 27.2; Dimensions (Mm): 26; Weight (Kg): 165; Terminal Type: 176 | [910-017] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V40AH; Rated Capacity @ 25° C (Ah): 42.2; Dimensions (Mm): 40; Weight (Kg): 198; Terminal Type: 166 | [910-023] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V44AH; Rated Capacity @ 25° C (Ah): 46.6; Dimensions (Mm): 44; Weight (Kg): 198; Terminal Type: 166 | [910-018] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V65AH; Rated Capacity @ 25° C (Ah): 66; Dimensions (Mm): 65; Weight (Kg): 350; Terminal Type: 167 | [910-025] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V80AH; Rated Capacity @ 25° C (Ah): 84; Dimensions (Mm): 80; Weight (Kg): 329; Terminal Type: 174 | [910-019] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V100AH; Rated Capacity @ 25° C (Ah): 106; Dimensions (Mm): 100; Weight (Kg): 329; Terminal Type: 174 | [910-020] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V120AH; Rated Capacity @ 25° C (Ah): 128; Dimensions (Mm): 120; Weight (Kg): 407; Terminal Type: 174 | [910-021] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V150AH; Rated Capacity @ 25° C (Ah): 154; Dimensions (Mm): 150; Weight (Kg): 484; Terminal Type: 171 | [910-022] Rated Voltage (V): 12; Description: VRLA AGM Battery 12V200AH; Rated Capacity @ 25° C (Ah): 212; Dimensions (Mm): 200; Weight (Kg): 522; Terminal Type: 240,,0,range_only,website,https://i-sol.co.uk/battery-solutions-agm-valve-regulated-sealed-lead-acid-12volt
PROD-022,i-power,Battery Storage Power Solutions,Gel Valve Regulated Sealed Lead Acid 12Volt,E-GH Series Range: 26Ah – 200Ah,Gel E-GH Series Range: 26Ah – 200Ah,26-200AH,"Gel E-GH Series Range: 26Ah – 200Ah is a Gel Valve Regulated Sealed Lead Acid 12Volt product in the Battery Storage Power Solutions category from Interconnect Solutions' i-power line, spanning 26-200AH.",,Order-Code: [910-030] Description: VRLA Gel Battery 12V26AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 26; Dimensions (Mm): 24.2; Weight (Kg): 165±1; Terminal Type: 125±1 | [910-031] Description: VRLA Gel Battery 12V40AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 40; Dimensions (Mm): 38; Weight (Kg): 197±2; Terminal Type: 165±2 | [910-032] Description: VRLA Gel Battery 12V70AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 75; Dimensions (Mm): 70; Weight (Kg): 260 ± 3; Terminal Type: 167±3 | [910-026] Description: VRLA Gel Battery 12V100AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 104; Dimensions (Mm): 100; Weight (Kg): 407±3; Terminal Type: 173±2 | [910-027] Description: VRLA Gel Battery 12V120AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 124.8; Dimensions (Mm): 120; Weight (Kg): 407±3; Terminal Type: 173±2 | [910-028] Description: VRLA Gel Battery 12V150AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 156; Dimensions (Mm): 150; Weight (Kg): 485±3; Terminal Type: 170±2 | [910-029] Description: VRLA Gel Battery 12V200AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 208; Dimensions (Mm): 200; Weight (Kg): 522±3; Terminal Type: 240±2,,0,range_only,website,https://i-sol.co.uk/battery-solutions-gel-valve-regulated-sealed-lead-acid-12volt
PROD-023,i-power,Battery Storage Power Solutions,Pure Gel (Deep Cycle) Valve Regulated Sealed Lead Acid 12Volt,E-GD Series Range: 26Ah – 200Ah,Pure E-GD Series Range: 26Ah – 200Ah,26-200AH,"Pure E-GD Series Range: 26Ah – 200Ah is a Pure Gel (Deep Cycle) Valve Regulated Sealed Lead Acid 12Volt product in the Battery Storage Power Solutions category from Interconnect Solutions' i-power line, spanning 26-200AH.",,Order-Code: [910-037] Description: VRLA Pure Gel 12V26AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 26.7; Dimensions (Mm): 26; Weight (Kg): 165±1; Terminal Type: 125±1 | [910-038] Description: VRLA Pure Gel 12V40AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 41.7; Dimensions (Mm): 40; Weight (Kg): 197±2; Terminal Type: 165±2 | [910-039] Description: VRLA Pure Gel 12V70AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 75; Dimensions (Mm): 70; Weight (Kg): 260±3; Terminal Type: 167±2 | [910-033] Description: VRLA Pure Gel 12V100AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 105; Dimensions (Mm): 100; Weight (Kg): 407 ±3; Terminal Type: 173±2 | [910-034] Description: VRLA Pure Gel 12V120AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 128.6; Dimensions (Mm): 120; Weight (Kg): 407±3; Terminal Type: 173±2 | [910-035] Description: VRLA Pure Gel 12V150AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 160.8; Dimensions (Mm): 150; Weight (Kg): 485±3; Terminal Type: 170±2 | [910-036] Description: VRLA Pure Gel 12V200AH; Rated Voltage (V): 12; Rated Capacity @ 25° C (Ah): 209; Dimensions (Mm): 200; Weight (Kg): 522±3; Terminal Type: 240±2,,0,range_only,website,https://i-sol.co.uk/pure-gel-deep-cycle-valve-regulated-sealed-lead-acid-12volt
